model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,3,"62,62,62",0.853515625,437,0.3752860411899313,164,0.3752860411899313,0.3311607409073236,0.4215848373066932,164,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,5,"62,62,62,62,62",0.853515625,437,0.3752860411899313,164,0.3752860411899313,0.3311607409073236,0.4215848373066932,164,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,3,"50,65,75",0.853515625,437,0.3752860411899313,164,0.3775743707093821,0.3333751379977119,0.4239072185976991,165,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,5,"50,58,65,70,75",0.853515625,437,0.3752860411899313,164,0.3684210526315789,0.324523962633734,0.4146112804361002,161,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,geometric,3,"85,74,55",0.853515625,437,0.3752860411899313,164,0.4370709382151029,0.3913129921341085,0.4839256023775514,191,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,geometric,5,"85,80,74,66,55",0.853515625,437,0.3752860411899313,164,0.4324942791762013,0.3868319253924194,0.479333112356452,189,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,arithmetic,3,"85,70,55",0.853515625,437,0.3752860411899313,164,0.4233409610983982,0.3778817594429904,0.4701361647803044,185,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,arithmetic,5,"85,78,70,63,55",0.853515625,437,0.3752860411899313,164,0.4439359267734554,0.3980420311648007,0.4908068984910417,194,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,3,"70,70,70",0.853515625,437,0.3752860411899313,164,0.3821510297482837,0.3378071156692236,0.4285487976889758,167,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.853515625,437,0.3752860411899313,164,0.3821510297482837,0.3378071156692236,0.4285487976889758,167,437
