model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.8534,8534,0.2739629716428404,2338,0.2921256151863136,0.2825729199119111,0.30186536965899,2493,8534
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.8534,8534,0.2739629716428404,2338,0.3181392078743848,0.30834129571306873,0.32810077047297326,2715,8534
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,5,"75,75,75,75,75",0.8534,8534,0.2739629716428404,2338,0.29001640496836184,0.28048522598804765,0.29973654115459875,2475,8534
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,5,"60,72,80,86,90",0.8534,8534,0.2739629716428404,2338,0.3146238575111319,0.30485695358126663,0.32455757522435086,2685,8534
robustbench_rice2020,robustbench_cifar,cifar10,pgd,R1,75,50,fixed,5,"62,62,62,62,62",0.8534,8534,0.3280993672369346,2800,0.34052027185376144,0.33053991496743973,0.35064413920730453,2906,8534
robustbench_rice2020,robustbench_cifar,cifar10,pgd,R1,75,50,front_loaded,5,"50,58,65,70,75",0.8534,8534,0.3280993672369346,2800,0.357979845324584,0.347874557740924,0.3682129320899283,3055,8534
robustbench_rice2020,robustbench_cifar,cifar10,pgd,R2,85,55,fixed,5,"70,70,70,70,70",0.8534,8534,0.3280993672369346,2800,0.3380595265994844,0.32809798563277637,0.3481667923756708,2885,8534
robustbench_rice2020,robustbench_cifar,cifar10,pgd,R2,85,55,front_loaded,5,"55,66,74,80,85",0.8534,8534,0.3280993672369346,2800,0.3551675650339817,0.3450813967752354,0.36538406315127736,3031,8534
robustbench_rice2020,robustbench_cifar,cifar10,pgd,R3,90,60,fixed,5,"75,75,75,75,75",0.8534,8534,0.3280993672369346,2800,0.33559878134520743,0.3256563594805618,0.34568914236158826,2864,8534
robustbench_rice2020,robustbench_cifar,cifar10,pgd,R3,90,60,front_loaded,5,"60,72,80,86,90",0.8534,8534,0.3280993672369346,2800,0.35469885165221465,0.3446159070767819,0.36491254786567423,3027,8534
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,5,"62,62,62,62,62",0.8334,8334,0.3413726901847852,2845,0.3400527957763379,0.329957904279114,0.35029507088634576,2834,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,5,"50,58,65,70,75",0.8334,8334,0.3413726901847852,2845,0.34773218142548595,0.337579604453698,0.35802506582759863,2898,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.8334,8334,0.3413726901847852,2845,0.33981281497480204,0.32971977383741047,0.3500534608556794,2832,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.8334,8334,0.3413726901847852,2845,0.3462922966162707,0.33615031124473355,0.35657591620234363,2886,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,5,"75,75,75,75,75",0.8334,8334,0.3413726901847852,2845,0.34053275737940963,0.33043417387704677,0.3507782822331527,2838,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,5,"60,72,80,86,90",0.8334,8334,0.3413726901847852,2845,0.34521238300935925,0.33507840907253794,0.35548898624887465,2877,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,fixed,5,"62,62,62,62,62",0.8334,8334,0.4385649148068155,3655,0.4094072474202064,0.3988942713452872,0.4200037003350745,3412,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R1,75,50,front_loaded,5,"50,58,65,70,75",0.8334,8334,0.4385649148068155,3655,0.3938084953203744,0.38336988451372134,0.40434495646259666,3282,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,fixed,5,"70,70,70,70,70",0.8334,8334,0.4385649148068155,3655,0.41168706503479724,0.4011641443820521,0.42229136178582366,3431,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R2,85,55,front_loaded,5,"55,66,74,80,85",0.8334,8334,0.4385649148068155,3655,0.39452843772498203,0.3840861500958528,0.40506791229757494,3288,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R3,90,60,fixed,5,"75,75,75,75,75",0.8334,8334,0.4385649148068155,3655,0.41336693064554836,0.4028368320982404,0.42397685737622465,3445,8334
robustbench_wong2020fast,robustbench_cifar,cifar10,pgd,R3,90,60,front_loaded,5,"60,72,80,86,90",0.8334,8334,0.4385649148068155,3655,0.39908807295416365,0.3886230508116524,0.40964608055680346,3326,8334
